"algo","compressed-oops","dry-mode","jvm","size","tag","threads","-","count","mean","stdDev"
"CMS_ParNew","off","false","hs6u43","4.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","1057.514950166113","122.45977280680532"
"CMS_ParNew","off","false","hs6u43","4.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","971.063122923588","115.63535022421406"
"CMS_ParNew","off","false","hs6u43","4.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","1016.3222591362127","95.18301554401607"
"CMS_ParNew","off","false","hs6u43","4.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","912.2691029900333","111.19234782488367"
"CMS_ParNew","off","false","hs6u43","8.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","1127.4950166112956","52.13110365723645"
"CMS_ParNew","off","false","hs6u43","8.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","1195.8205980066446","161.9351241275968"
"CMS_ParNew","off","false","hs6u43","8.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","1223.1860465116279","140.41889847105773"
"CMS_ParNew","off","false","hs6u43","8.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","1225.528239202658","70.71558799353426"
"CMS_ParNew","off","false","hs6u43","8.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","1084.4053156146178","80.71858648602931"
"CMS_ParNew","off","false","hs6u43","12.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","1367.3986710963454","65.13757889483352"
"CMS_ParNew","off","false","hs6u43","12.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","1320.6146179401994","59.54984220450429"
"CMS_ParNew","off","false","hs6u43","12.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","1130.5481727574752","70.21543856073063"
"CMS_ParNew","off","false","hs6u43","12.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","1205.8870431893688","73.56011304227354"
"CMS_ParNew","off","false","hs6u43","12.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","1251.5182724252493","110.55272113868652"
"CMS_ParNew","off","false","hs6u43","16.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","1363.2691029900332","99.8492086130749"
"CMS_ParNew","off","false","hs6u43","16.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","1290.9169435215947","148.5331704912163"
"CMS_ParNew","off","false","hs6u43","16.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","1434.3388704318936","125.00710192736716"
"CMS_ParNew","off","false","hs6u43","16.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","1367.9102990033223","83.55372231008413"
"CMS_ParNew","off","false","hs6u43","16.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","1305.4651162790697","104.50765575798765"
"CMS_ParNew","off","false","hs6u43","20.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","1480.0531561461794","33.5489501794823"
"CMS_ParNew","off","false","hs6u43","20.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","1625.4318936877075","119.78970851114386"
