"coops","dry-mode","gc.algo","gc.threads","heap.old","jvm","-","host","pause.avg","pause.count","pause.sdev","pause.sqtotal","pause.total"
"false","false","cms","4","20","hs7u15","","longmrdfappd3","581.4114713216958","401","35.66822412944645","136063920","233146"
"true","false","cms","48","4","hs7u15","","longmrdfappd1","136.18204488778053","401","8.327419289786896","7464573","54609"
"false","true","cms","4","2","hs7u15","","longmrdfappd1","19.77057356608479","401","0.7522083333476126","156968","7928"
"true","true","cms","32","28","hs7u15","","longmrdfappd2","44.00997506234414","401","2.2477254226079313","778714","17648"
"true","true","cms","24","4","hs7u15","","longmrdfappd1","10.41645885286783","401","9.326369898851437","78389","4177"
"false","false","cms","48","3","hs7u15","","longmrdfappd3","125.87281795511223","401","7.881053658765679","6378337","50475"
"false","true","cms","16","3","hs7u15","","longmrdfappd2","9.45137157107232","401","4.873282482956741","45344","3790"
"false","true","cms","16","4","hs7u15","","longmrdfappd3","12.034912718204488","401","4.753660152214921","67142","4826"
"true","false","cms","48","3","hs7u15","","longmrdfappd1","131.06733167082294","401","8.01295429419881","6914384","52558"
"false","true","cms","32","12","hs7u15","","longmrdfappd3","21.261845386533665","401","5.325210879276337","192650","8526"
"true","false","cms","32","12","hs7u15","","longmrdfappd2","191.61845386533665","401","14.801144344904552","14811619","76839"
"true","false","cms","24","1","hs7u15","","longmrdfappd1","125.22693266832918","401","28.540575706593494","6615036","50216"
"false","false","cms","4","3","hs7u15","","longmrdfappd3","369.9426433915212","401","23.97274433221971","55110333","148347"
"true","true","cms","4","12","hs7u15","","longmrdfappd1","113.75311720698254","401","17.409871837988693","5310393","45615"
"true","true","cms","24","20","hs7u15","","longmrdfappd2","40.952618453865334","401","2.92299326930937","675950","16422"
"true","false","cms","16","1","hs7u15","","longmrdfappd3","124.76059850374065","401","7.442383419543019","6263859","50029"
"false","false","cms","24","0.7","hs7u15","","longmrdfappd1","95.42892768079801","401","3.436718422197483","3656515","38267"
"true","true","cms","8","3","hs7u15","","longmrdfappd3","15.730673316708229","401","7.4584322258329125","121536","6308"
"false","false","cms","48","3","hs7u15","","longmrdfappd2","121.86284289276809","401","7.896060503129497","5980073","48867"
"false","true","cms","4","4","hs7u15","","longmrdfappd1","39.35162094763092","401","18.805436514733874","762780","15780"
"false","true","cms","4","2","hs7u15","","longmrdfappd2","18.433915211970074","401","5.444001652993735","148148","7392"
"false","false","cms","32","3","hs7u15","","longmrdfappd3","123.18204488778055","401","6.445573153319473","6101360","49396"
"false","true","cms","32","3","hs7u15","","longmrdfappd2","8.219451371571072","401","7.670698901934816","50686","3296"
"false","true","cms","24","8","hs7u15","","longmrdfappd1","17.256857855361595","401","1.4040763960446148","120208","6920"
"false","true","cms","4","3","hs7u15","","longmrdfappd3","29.00498753117207","401","9.376841800785158","372615","11631"
"false","true","cms","32","16","hs7u15","","longmrdfappd1","26.60349127182045","401","1.641083451051594","284886","10668"
"false","false","cms","4","8","hs7u15","","longmrdfappd2","439.3715710723192","401","39.392444428853786","78034256","176188"
"false","false","cms","24","1.5","hs7u15","","longmrdfappd2","112.69576059850374","401","6.046965561444109","5107497","45191"
"true","false","cms","32","20","hs7u15","","longmrdfappd1","219.69077306733166","401","15.99030690336232","19456410","88096"
"true","false","cms","16","28","hs7u15","","longmrdfappd3","320.81296758104736","401","8.78546926725303","41302256","128646"
"true","true","cms","48","3","hs7u15","","longmrdfappd3","11.46134663341646","401","6.580340036393141","70040","4596"
"true","true","cms","32","28","hs7u15","","longmrdfappd2","44.80049875311721","401","2.117519781621715","806639","17965"
"true","true","cms","32","16","hs7u15","","longmrdfappd3","28.251870324189525","401","9.760672411689752","358269","11329"
"true","false","cms","48","1.5","hs7u15","","longmrdfappd2","117.92518703241895","401","9.042398829180662","5609234","47288"
"false","false","cms","32","1","hs7u15","","longmrdfappd3","112.08478802992519","401","4.366934591123118","5045410","44946"
"true","false","cms","4","1","hs7u15","","longmrdfappd2","246.07980049875312","401","13.306238237009307","24353662","98678"
"true","false","cms","8","28","hs7u15","","longmrdfappd1","512.5685785536159","401","46.20701450808257","106209516","205540"
"false","true","cms","48","12","hs7u15","","longmrdfappd3","22.069825436408976","401","8.667024802211314","225440","8850"
"true","false","cms","8","3","hs7u15","","longmrdfappd2","250.4139650872818","401","13.618536747057199","25219940","100416"
"false","true","cms","24","4","hs7u15","","longmrdfappd2","10.107231920199501","401","7.787448983102073","65283","4053"
"false","false","cms","32","28","hs7u15","","longmrdfappd1","188.17456359102243","401","6.372435291371135","14215560","75458"
"true","true","cms","24","20","hs7u15","","longmrdfappd2","40.1571072319202","401","5.379165090262763","658253","16103"
"false","true","cms","16","4","hs7u15","","longmrdfappd2","12.224438902743142","401","7.662748004432497","83470","4902"
"true","false","cms","8","28","hs7u15","","longmrdfappd3","508.3765586034913","401","33.4081589796736","104084695","203859"
"false","false","cms","48","20","hs7u15","","longmrdfappd1","142.13965087281795","401","6.656176617241101","8119442","56998"
"true","true","cms","8","20","hs7u15","","longmrdfappd2","106.0423940149626","401","8.386885514467249","4537447","42523"
"true","true","cms","4","28","hs7u15","","longmrdfappd3","260.9700748129676","401","14.969931700132292","27400121","104649"
"false","false","cms","16","12","hs7u15","","longmrdfappd1","194.29177057356608","401","4.352561902998122","15145063","77911"
"true","false","cms","16","4","hs7u15","","longmrdfappd2","193.79052369077306","401","7.387122985983015","15081344","77710"
"false","true","cms","16","1.5","hs7u15","","longmrdfappd3","5.768079800498753","401","3.6332598463141705","18635","2313"
"true","true","cms","24","1","hs7u15","","longmrdfappd3","5.057356608478803","401","7.211393174430438","31110","2028"
"false","true","cms","48","4","hs7u15","","longmrdfappd1","11.581047381546135","401","7.767766372272909","77978","4644"
"true","true","cms","24","1.5","hs7u15","","longmrdfappd3","5.71072319201995","401","5.941200641539403","27232","2290"
"false","false","cms","4","1.5","hs7u15","","longmrdfappd2","255.80299251870323","401","10.196258226324927","26281193","102577"
"true","true","cms","16","8","hs7u15","","longmrdfappd3","22.700748129675812","401","3.267801725718085","210927","9103"
"true","true","cms","8","3","hs7u15","","longmrdfappd2","16.139650872817956","401","12.034880680560034","162536","6472"
"true","false","cms","32","4","hs7u15","","longmrdfappd1","149.1147132169576","401","7.050357376205934","8936247","59795"
"false","true","cms","4","12","hs7u15","","longmrdfappd2","113.01496259351622","401","10.2412191236322","5163783","45319"
"true","true","cms","48","20","hs7u15","","longmrdfappd1","30.08229426433915","401","7.827995716073494","387455","12063"
"true","true","cms","16","28","hs7u15","","longmrdfappd3","76.52618453865337","401","9.317611975369648","2383173","30687"
"false","false","cms","16","12","hs7u15","","longmrdfappd2","204.91022443890273","401","9.313970425483877","16872055","82169"
"true","true","cms","48","20","hs7u15","","longmrdfappd3","30.92269326683292","401","10.192731688805482","425102","12400"
"true","true","cms","48","28","hs7u15","","longmrdfappd1","38.895261845386536","401","10.211186594348568","648461","15597"
"false","true","cms","24","4","hs7u15","","longmrdfappd2","10.43142144638404","401","7.34988830386155","65297","4183"
"false","true","cms","8","12","hs7u15","","longmrdfappd2","61.73067331670823","401","11.633740670589807","1582354","24754"
"false","false","cms","4","3","hs7u15","","longmrdfappd3","362.68079800498754","401","24.241261486676283","52982125","145435"
"true","true","cms","16","1.5","hs7u15","","longmrdfappd2","5.693266832917706","401","1.7805206868585834","14269","2283"
"false","true","cms","32","2","hs7u15","","longmrdfappd3","6.533665835411472","401","1.6859367784713497","18258","2620"
"false","true","cms","4","1","hs7u15","","longmrdfappd2","10.092269326683292","401","5.237879021671619","51845","4047"
"true","true","cms","4","1.5","hs7u15","","longmrdfappd3","15.546134663341645","401","0.5680533077268776","97044","6234"
"true","true","cms","32","0.7","hs7u15","","longmrdfappd3","4.795511221945137","401","6.9042673421348315","28337","1923"
"false","false","cms","4","16","hs7u15","","longmrdfappd1","557.6907730673316","401","29.95298293466236","125078388","223634"
"false","true","cms","8","1","hs7u15","","longmrdfappd1","5.738154613466334","401","7.895436706356066","38201","2301"
"true","false","cms","16","3","hs7u15","","longmrdfappd2","163.79551122194513","401","9.045911149750225","10791230","65682"
"false","false","cms","4","1","hs7u15","","longmrdfappd3","199.96009975062344","401","10.731518544193271","16079782","80184"
"true","false","cms","8","1.5","hs7u15","","longmrdfappd1","181.9002493765586","401","9.752294950198404","13306306","72942"
"true","true","cms","24","28","hs7u15","","longmrdfappd3","57.7356608478803","401","10.967871926140367","1384934","23152"
"true","false","cms","4","8","hs7u15","","longmrdfappd2","565.5211970074813","401","43.81342413265608","129015270","226774"
"true","true","cms","24","28","hs7u15","","longmrdfappd1","55.1571072319202","401","2.388199503559189","1222252","22118"
"true","false","cms","4","1.5","hs7u15","","longmrdfappd2","297.51122194513715","401","20.230233387083697","35657798","119302"
"true","false","cms","24","1","hs7u15","","longmrdfappd1","117.63341645885286","401","6.354669620339821","5565079","47171"
"true","false","cms","48","4","hs7u15","","longmrdfappd1","130.67331670822944","401","8.343349598072386","6875196","52400"
"false","false","cms","4","8","hs7u15","","longmrdfappd2","461.6708229426434","401","37.181315817977605","86023482","185130"
"true","false","cms","8","28","hs7u15","","longmrdfappd3","473.8628428927681","401","44.76353656028878","90846457","190019"
"true","true","cms","16","4","hs7u15","","longmrdfappd3","12.478802992518704","401","10.465484158266339","106364","5004"
